"city","year","population","pop_adj","pop_ratio"
"NewYork",2015,18972363,23947404.5731497,1.00216045115373
"NewYork",2016,18954313,23924621.3988796,1.00120701187243
"NewYork",2017,19094455,24101512.2359193,1.00860960953228
"NewYork",2018,18776233,23699844.2424238,0.991800448591861
"NewYork",2019,18680025,23578408.0302254,0.986718537989339
"NewYork",2020,18931462.5,23895778.9100342,1
"NewYork",2021,19182900,24213149.7898429,1.01328146201066
"NewYork",2022,18908608,23866931.3722859,0.998792776839085
"NewYork",2023,18832416,23770759.8701257,0.994768153807452
"NewYork",2024,19268388,24321054.9423086,1.01779711947769
"LosAngeles",2015,12638616,19723164.0713941,1.01968510305655
"LosAngeles",2016,12615510,19687106.0545168,1.01782090811692
"LosAngeles",2017,12670761,19773327.8796049,1.02227856563487
"LosAngeles",2018,12616501,19688652.5573613,1.01790086211956
"LosAngeles",2019,12531334,19555745.3850516,1.01102957801915
"LosAngeles",2020,12394626.5,19342406.8001709,1
"LosAngeles",2021,12257919,19129068.2152902,0.988970421980848
"LosAngeles",2022,11922389,18605457.6205167,0.961899820055086
"LosAngeles",2023,11885717,18548229.2125307,0.958941118556497
"LosAngeles",2024,11984083,18701734.0549159,0.96687729961044
"Chicago",2015,8692894,9988447.87754606,1.00945400680789
"Chicago",2016,8660237,9950923.8099183,1.00566174389748
"Chicago",2017,8667303,9959042.89807268,1.00648227639357
"Chicago",2018,8636309,9923429.67726076,1.00288312776861
"Chicago",2019,8586888,9866643.17065476,0.997144161381765
"Chicago",2020,8611481,9894901.41223145,1
"Chicago",2021,8636074,9923159.65380813,1.00285583861824
"Chicago",2022,8497759,9764230.74380614,0.986794141449073
"Chicago",2023,8489066,9754242.17413079,0.985784675133116
"Chicago",2024,8609571,9892706.75353135,0.999778203075638
"Dallas_FortWorth",2015,5638941,6578285.60262233,0.954798964796775
"Dallas_FortWorth",2016,5690531,6638469.55458056,0.963534306874988
"Dallas_FortWorth",2017,5807934,6775429.75058273,0.983413263378352
"Dallas_FortWorth",2018,5888916,6869901.87303827,0.997125329130977
"Dallas_FortWorth",2019,5910669,6895278.52562496,1.00080859907142
"Dallas_FortWorth",2020,5905893.5,6889707.51452637,1
"Dallas_FortWorth",2021,5901118,6884136.50342777,0.999191400928581
"Dallas_FortWorth",2022,5830932,6802258.79743552,0.987307339693816
"Dallas_FortWorth",2023,5843632,6817074.38553146,0.989457734041428
"Dallas_FortWorth",2024,5968322,6962535.46267183,1.01057054279763
"Houston",2015,5528835,5554999.95341549,0.966112872400971
"Houston",2016,5607133,5633668.49504362,0.979794725030549
"Houston",2017,5665604,5692416.20632025,0.990011992458887
"Houston",2018,5704641,5731637.94709955,0.996833347807694
"Houston",2019,5724418,5751508.54082837,1.00028919597055
"Houston",2020,5722763,5749845.70861816,1
"Houston",2021,5721108,5748182.87640796,0.999710804029452
"Houston",2022,5970127,5998380.34719513,1.04322457526198
"Houston",2023,6046392,6075006.2677457,1.05655117991082
"Houston",2024,6227666,6257138.13848437,1.08822713783534
"Washington",2015,4967211,5428658.33503718,0.982195472522336
"Washington",2016,4983485,5446444.16812226,0.985413425035291
"Washington",2017,5042681,5511139.39826265,0.997118593829496
"Washington",2018,5051789,5521093.51942149,0.998919571553964
"Washington",2019,5066973,5537688.0929476,1.00192199203797
"Washington",2020,5057253,5527065.11779785,1
"Washington",2021,5047533,5516442.1426481,0.99807800796203
"Washington",2022,5116378,5591682.7521321,1.01169112955195
"Washington",2023,5146120,5624187.74461192,1.01757218790517
"Washington",2024,5230370,5716264.45822986,1.03423142959231
"Phoenix",2015,3939034,4606345.14058352,0.94822196676004
"Phoenix",2016,3994104,4670744.54076436,0.961478664648272
"Phoenix",2017,4063235,4751587.01278001,0.978120189647571
"Phoenix",2018,4142622,4844422.95216909,0.997230585058014
"Phoenix",2019,4187723,4897164.5056021,1.0080875004649
"Phoenix",2020,4154126.5,4857876.42773438,1
"Phoenix",2021,4120530,4818588.34986665,0.991912499535101
"Phoenix",2022,4064275,4752803.19901913,0.9783705431214
"Phoenix",2023,4065338,4754046.28168468,0.978626433258592
"Phoenix",2024,4121103,4819258.42170801,0.992050434670201
"Philadelphia",2015,5527247,5010351.0130812,0.985864174249904
"Philadelphia",2016,5555493,5035955.50926447,0.990902255498284
"Philadelphia",2017,5555361,5035835.85361424,0.990878711395587
"Philadelphia",2018,5538175,5020257.05054812,0.987813340570172
"Philadelphia",2019,5540199,5022091.7705182,0.988174350144863
"Philadelphia",2020,5606499.5,5082191.99353027,1
"Philadelphia",2021,5672800,5142292.21654234,1.01182564985514
"Philadelphia",2022,5683533,5152021.48998053,1.0137400351146
"Philadelphia",2023,5696588,5163855.615084,1.01606858254424
"Philadelphia",2024,5782653,5241872.00551143,1.03141951586725
"LasVegas",2015,2041692,3266660.15460069,0.938151250773678
"LasVegas",2016,2090708,3345084.62515644,0.96067395336933
"LasVegas",2017,2124200,3398671.05342176,0.976063425283268
"LasVegas",2018,2148170,3437022.50109642,0.987077567220958
"LasVegas",2019,2165405,3464598.10396137,0.994996997187419
"LasVegas",2020,2176293,3482018.65307617,1
"LasVegas",2021,2187181,3499439.20219097,1.00500300281258
"LasVegas",2022,2248047,3596823.39969477,1.03297074428857
"LasVegas",2023,2256509,3610362.40471033,1.03685900749577
"LasVegas",2024,2299189,3678649.42126246,1.05647033740402
"Seattle",2015,3326674,4054648.87164186,0.93820429503903
"Seattle",2016,3387102,4128300.30908826,0.955246484667656
"Seattle",2017,3436084,4188001.02248271,0.969060619379864
"Seattle",2018,3513326,4282145.86148507,0.990844772608406
"Seattle",2019,3530752,4303385.18678032,0.995759335335427
"Seattle",2020,3545788.5,4321712.11865234,1
"Seattle",2021,3560825,4340039.05052437,1.00424066466457
"Seattle",2022,3561397,4340736.22107808,1.00440198280298
"Seattle",2023,3555253,4333247.73177393,1.00266922293871
"Seattle",2024,3642006,4438984.85947612,1.02713571325532
"Denver",2015,2617038,3171095.03683555,0.969223077321917
"Denver",2016,2657289,3219867.63636512,0.984130082143889
"Denver",2017,2677686,3244582.91580177,0.991684134896709
"Denver",2018,2710084,3283839.94493295,1.00368277200441
"Denver",2019,2709398,3283008.71084492,1.00342871110387
"Denver",2020,2700140,3271790.68579102,1
"Denver",2021,2690882,3260572.66073711,0.996571288896131
"Denver",2022,2687458,3256423.76056595,0.995303206500404
"Denver",2023,2691349,3261138.53000695,0.996744242891109
"Denver",2024,2714768,3289515.60159233,1.00541749687053
"Detroit",2015,3731521,3375716.77420456,0.994402437184979
"Detroit",2016,3725215,3370012.05755466,0.992721969148248
"Detroit",2017,3738864,3382359.61187664,0.996359252407578
"Detroit",2018,3751407,3393706.62439482,0.999701800866936
"Detroit",2019,3731486,3375685.11148925,0.994393110134347
"Detroit",2020,3752526,3394718.92663574,1
"Detroit",2021,3773566,3413752.74178224,1.00560688986565
"Detroit",2022,3725908,3370638.9793178,0.992906644750763
"Detroit",2023,3716929,3362516.13586722,0.990513856532906
"Detroit",2024,3773725,3413896.58097465,1.00564926132424
"Boston",2015,4384450,3264716.23567395,0.979108102627867
"Boston",2016,4406447,3281095.47663601,0.98402033584606
"Boston",2017,4433253,3301055.55906676,0.990006485032171
"Boston",2018,4475825,3332755.20202884,0.999513399273426
"Boston",2019,4465966,3325414.06748117,0.997311748716616
"Boston",2020,4478004,3334377.71264648,1
"Boston",2021,4490042,3343341.35781179,1.00268825128338
"Boston",2022,4328315,3222917.41349795,0.96657238358876
"Boston",2023,4355184,3242924.40651562,0.972572601543009
"Boston",2024,4453352,3316021.52552111,0.994494868695964
"Sacramento",2015,1829034,2380008.04820687,0.962096521367719
"Sacramento",2016,1846331,2402515.55720333,0.971194976360955
