orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
1215,2014092317,417,0,330,181,129,Boston,42.3555076,-71.0565364
1812,2014110317,320,0,268,50,40,Boston,42.3555076,-71.0565364
2584,2014122617,131,0,85,31,18,Boston,42.3555076,-71.0565364
3516,2015022817,153,0,138,76,76,Boston,42.3555076,-71.0565364
3778,2015031817,143,0,55,32,10,Boston,42.3555076,-71.0565364
3982,2015040117,165,0,145,64,52,Boston,42.3555076,-71.0565364
6778,2015101017,194,0,188,50,45,Boston,42.3555076,-71.0565364
8176,2016011417,123,0,63,42,22,Boston,42.3555076,-71.0565364
8671,2016021717,427,0,356,255,227,Boston,42.3555076,-71.0565364
14234,2017030517,138,0,137,42,41,Boston,42.3555076,-71.0565364
17889,2017111117,375,0,292,218,154,Boston,42.3555076,-71.0565364
19360,2018022017,206,0,183,107,92,Boston,42.3555076,-71.0565364
19855,2018032617,276,0,259,49,48,Boston,42.3555076,-71.0565364
21355,2018070717,415,0,394,242,233,Boston,42.3555076,-71.0565364
22156,2018083117,139,0,98,55,42,Boston,42.3555076,-71.0565364
23554,2018120517,144,0,136,80,74,Boston,42.3555076,-71.0565364
24515,2019020917,316,0,295,91,88,Boston,42.3555076,-71.0565364
24952,2019031117,141,0,86,94,63,Boston,42.3555076,-71.0565364
26350,2019061517,295,0,275,141,123,Boston,42.3555076,-71.0565364
27748,2019091917,305,0,171,153,94,Boston,42.3555076,-71.0565364
27777,2019092117,439,0,421,262,255,Boston,42.3555076,-71.0565364
28214,2019102117,212,0,158,92,68,Boston,42.3555076,-71.0565364
30107,2020022817,162,0,110,108,72,Boston,42.3555076,-71.0565364
31607,2020061017,265,0,172,149,103,Boston,42.3555076,-71.0565364
32073,2020071217,105,0,27,67,21,Boston,42.3555076,-71.0565364
37199,2021062917,4129,0,2263,4129,2263,Boston,42.3555076,-71.0565364
37665,2021073117,111,0,73,85,62,Boston,42.3555076,-71.0565364
38830,2021101917,6134,0,4750,6134,4750,Boston,42.3555076,-71.0565364
39267,2021111817,6283,0,4888,6283,4888,Boston,42.3555076,-71.0565364
39733,2021122017,6075,0,3813,6067,3810,Boston,42.3555076,-71.0565364
42296,2022061417,6052,0,5184,6052,5184,Boston,42.3555076,-71.0565364
43257,2022081917,4330,0,3324,4330,3324,Boston,42.3555076,-71.0565364
44189,2022102217,6020,0,5426,5974,5389,Boston,42.3555076,-71.0565364
44422,2022110717,6136,0,5506,6104,5478,Boston,42.3555076,-71.0565364
44451,2022110917,263,0,133,84,45,Boston,42.3555076,-71.0565364
45820,2023021117,6035,0,4700,6035,4700,Boston,42.3555076,-71.0565364
47349,2023052717,5205,0,4162,5172,4140,Boston,42.3555076,-71.0565364
47917,2023070517,297,0,218,212,159,Boston,42.3555076,-71.0565364
48849,2023090717,5710,0,3761,5680,3760,Boston,42.3555076,-71.0565364
49213,2023100217,5849,0,5030,5840,5025,Boston,42.3555076,-71.0565364
49752,2023110817,5997,0,4182,5989,4181,Boston,42.3555076,-71.0565364
50378,2023122117,5061,0,3615,5059,3615,Boston,42.3555076,-71.0565364
51412,2024030117,6064,0,4586,6062,4585,Boston,42.3555076,-71.0565364
51514,2024030817,185,0,167,46,41,Boston,42.3555076,-71.0565364
53043,2024062117,210,0,79,88,34,Boston,42.3555076,-71.0565364
54208,2024090917,3661,0,1564,3661,1564,Boston,42.3555076,-71.0565364
54907,2024102717,5826,0,4172,5826,4172,Boston,42.3555076,-71.0565364
55169,2024111417,306,0,221,240,181,Boston,42.3555076,-71.0565364
55242,2024111917,279,0,270,141,136,Boston,42.3555076,-71.0565364
