orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
1450,2014100920,309,0,213,145,100,LasVegas,36.171563,-115.1391009
1945,2014111220,153,0,102,72,41,LasVegas,36.171563,-115.1391009
2615,2014122820,343,0,329,210,200,LasVegas,36.171563,-115.1391009
3343,2015021620,159,0,96,85,43,LasVegas,36.171563,-115.1391009
3576,2015030420,423,0,368,220,183,LasVegas,36.171563,-115.1391009
4013,2015040320,356,0,306,217,173,LasVegas,36.171563,-115.1391009
5178,2015062220,341,0,321,213,200,LasVegas,36.171563,-115.1391009
5644,2015072420,339,0,308,211,184,LasVegas,36.171563,-115.1391009
6372,2015091220,178,0,129,117,91,LasVegas,36.171563,-115.1391009
6474,2015091920,239,0,198,146,126,LasVegas,36.171563,-115.1391009
6576,2015092620,273,0,230,199,162,LasVegas,36.171563,-115.1391009
6940,2015102120,216,0,181,144,127,LasVegas,36.171563,-115.1391009
7173,2015110620,199,0,155,52,41,LasVegas,36.171563,-115.1391009
7508,2015112920,308,0,296,180,172,LasVegas,36.171563,-115.1391009
7974,2015123120,330,0,318,195,186,LasVegas,36.171563,-115.1391009
8338,2016012520,104,0,72,58,41,LasVegas,36.171563,-115.1391009
8469,2016020320,437,0,394,266,255,LasVegas,36.171563,-115.1391009
8571,2016021020,217,0,191,96,83,LasVegas,36.171563,-115.1391009
9372,2016040520,332,0,305,211,202,LasVegas,36.171563,-115.1391009
10435,2016061720,432,0,393,130,126,LasVegas,36.171563,-115.1391009
10770,2016071020,332,0,319,215,210,LasVegas,36.171563,-115.1391009
10901,2016071920,211,0,137,72,61,LasVegas,36.171563,-115.1391009
11600,2016090520,166,0,124,99,77,LasVegas,36.171563,-115.1391009
11702,2016091220,321,0,310,192,188,LasVegas,36.171563,-115.1391009
11731,2016091420,389,0,357,97,97,LasVegas,36.171563,-115.1391009
11964,2016093020,150,0,99,68,53,LasVegas,36.171563,-115.1391009
13100,2016121720,280,0,273,178,173,LasVegas,36.171563,-115.1391009
15430,2017052620,321,0,305,197,184,LasVegas,36.171563,-115.1391009
16027,2017070620,412,0,283,201,178,LasVegas,36.171563,-115.1391009
17294,2017100120,261,0,234,174,152,LasVegas,36.171563,-115.1391009
18255,2017120620,204,0,161,122,95,LasVegas,36.171563,-115.1391009
18692,2018010520,314,0,302,190,184,LasVegas,36.171563,-115.1391009
19158,2018020620,247,0,197,147,123,LasVegas,36.171563,-115.1391009
19187,2018020820,445,0,395,267,252,LasVegas,36.171563,-115.1391009
19653,2018031220,384,0,355,126,126,LasVegas,36.171563,-115.1391009
20221,2018042020,126,0,86,75,59,LasVegas,36.171563,-115.1391009
20323,2018042720,142,0,84,64,37,LasVegas,36.171563,-115.1391009
21153,2018062320,434,0,413,145,137,LasVegas,36.171563,-115.1391009
22420,2018091820,304,0,278,190,175,LasVegas,36.171563,-115.1391009
22449,2018092020,434,0,358,260,210,LasVegas,36.171563,-115.1391009
24284,2019012420,308,0,285,161,151,LasVegas,36.171563,-115.1391009
24313,2019012620,355,0,224,56,39,LasVegas,36.171563,-115.1391009
24750,2019022520,282,0,245,172,157,LasVegas,36.171563,-115.1391009
24779,2019022720,242,0,147,97,60,LasVegas,36.171563,-115.1391009
25216,2019032920,191,0,153,116,100,LasVegas,36.171563,-115.1391009
26148,2019060120,296,0,270,170,146,LasVegas,36.171563,-115.1391009
27313,2019082020,145,0,115,63,47,LasVegas,36.171563,-115.1391009
27575,2019090720,340,0,274,37,23,LasVegas,36.171563,-115.1391009
28012,2019100720,317,0,308,189,183,LasVegas,36.171563,-115.1391009
28478,2019110820,309,0,298,183,179,LasVegas,36.171563,-115.1391009
29410,2020011120,257,0,214,153,133,LasVegas,36.171563,-115.1391009
29439,2020011320,380,0,244,80,67,LasVegas,36.171563,-115.1391009
29876,2020021220,320,0,286,200,180,LasVegas,36.171563,-115.1391009
29905,2020021420,437,0,399,265,246,LasVegas,36.171563,-115.1391009
30342,2020031520,155,0,87,85,42,LasVegas,36.171563,-115.1391009
31274,2020051820,305,0,268,180,174,LasVegas,36.171563,-115.1391009
32206,2020072120,213,0,169,137,108,LasVegas,36.171563,-115.1391009
32337,2020073020,421,0,391,76,66,LasVegas,36.171563,-115.1391009
33138,2020092320,191,0,166,115,105,LasVegas,36.171563,-115.1391009
33167,2020092520,184,0,143,110,93,LasVegas,36.171563,-115.1391009
33604,2020102520,317,0,290,195,189,LasVegas,36.171563,-115.1391009
34070,2020112620,322,0,298,192,182,LasVegas,36.171563,-115.1391009
34798,2021011520,133,0,101,47,37,LasVegas,36.171563,-115.1391009
35468,2021030220,227,0,204,156,139,LasVegas,36.171563,-115.1391009
35497,2021030420,427,0,385,168,162,LasVegas,36.171563,-115.1391009
35832,2021032720,188,0,153,112,96,LasVegas,36.171563,-115.1391009
35934,2021040320,182,0,145,111,93,LasVegas,36.171563,-115.1391009
