orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
1057,2014091221,6775,0,3306,6510,3304,LosAngeles,34.0549076,-118.242643
1188,2014092121,9290,0,2336,9088,2336,LosAngeles,34.0549076,-118.242643
1421,2014100721,9106,0,5028,8918,5021,LosAngeles,34.0549076,-118.242643
1916,2014111020,211,0,20,121,17,LosAngeles,34.0549076,-118.242643
4115,2015041021,251,0,144,148,100,LosAngeles,34.0549076,-118.242643
4814,2015052820,411,0,292,163,93,LosAngeles,34.0549076,-118.242643
5353,2015070421,7435,0,48,7372,32,LosAngeles,34.0549076,-118.242643
5513,2015071520,428,0,222,79,39,LosAngeles,34.0549076,-118.242643
5979,2015081620,424,0,220,255,140,LosAngeles,34.0549076,-118.242643
6052,2015082121,7857,0,86,7794,64,LosAngeles,34.0549076,-118.242643
7275,2015111320,429,0,361,233,207,LosAngeles,34.0549076,-118.242643
9241,2016032720,281,0,188,149,114,LosAngeles,34.0549076,-118.242643
9707,2016042820,369,0,341,247,230,LosAngeles,34.0549076,-118.242643
10843,2016071521,7878,0,1062,7771,1031,LosAngeles,34.0549076,-118.242643
11105,2016080220,363,0,212,114,44,LosAngeles,34.0549076,-118.242643
11178,2016080721,7594,0,624,7512,583,LosAngeles,34.0549076,-118.242643
11542,2016090121,7853,0,5650,7764,5604,LosAngeles,34.0549076,-118.242643
11571,2016090320,419,0,328,192,186,LosAngeles,34.0549076,-118.242643
12576,2016111121,7833,0,6210,7769,6172,LosAngeles,34.0549076,-118.242643
13508,2017011421,7592,0,5812,7509,5758,LosAngeles,34.0549076,-118.242643
15037,2017042921,7906,0,6322,7817,6270,LosAngeles,34.0549076,-118.242643
15838,2017062321,7523,0,85,7434,45,LosAngeles,34.0549076,-118.242643
17367,2017100621,7942,0,6476,7843,6402,LosAngeles,34.0549076,-118.242643
18095,2017112520,7584,0,6271,7412,6144,LosAngeles,34.0549076,-118.242643
18401,2017121621,2154,0,8,2141,6,LosAngeles,34.0549076,-118.242643
20192,2018041820,4873,0,3939,4576,3817,LosAngeles,34.0549076,-118.242643
20265,2018042321,3978,0,1440,3911,1402,LosAngeles,34.0549076,-118.242643
20862,2018060321,6580,0,5724,6147,5434,LosAngeles,34.0549076,-118.242643
20891,2018060520,276,0,77,54,8,LosAngeles,34.0549076,-118.242643
