orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
5105,2015061720,209,0,179,135,115,SaltLakeCity,40.7605601,-111.8881397
5804,2015080420,199,0,33,128,25,SaltLakeCity,40.7605601,-111.8881397
6299,2015090720,345,0,135,212,69,SaltLakeCity,40.7605601,-111.8881397
6736,2015100720,187,0,119,139,84,SaltLakeCity,40.7605601,-111.8881397
7202,2015110820,261,0,234,150,140,SaltLakeCity,40.7605601,-111.8881397
7595,2015120520,182,0,118,136,94,SaltLakeCity,40.7605601,-111.8881397
8134,2016011120,174,0,94,134,86,SaltLakeCity,40.7605601,-111.8881397
9095,2016031720,110,0,15,68,5,SaltLakeCity,40.7605601,-111.8881397
9532,2016041620,223,0,149,131,79,SaltLakeCity,40.7605601,-111.8881397
9998,2016051820,164,0,138,94,82,SaltLakeCity,40.7605601,-111.8881397
10464,2016061920,250,0,227,141,125,SaltLakeCity,40.7605601,-111.8881397
10930,2016072120,284,0,180,165,103,SaltLakeCity,40.7605601,-111.8881397
11396,2016082220,203,0,114,130,88,SaltLakeCity,40.7605601,-111.8881397
12328,2016102520,234,0,212,144,138,SaltLakeCity,40.7605601,-111.8881397
14192,2017030220,177,0,163,141,137,SaltLakeCity,40.7605601,-111.8881397
15124,2017050520,232,0,225,142,138,SaltLakeCity,40.7605601,-111.8881397
15590,2017060620,206,0,132,131,70,SaltLakeCity,40.7605601,-111.8881397
16056,2017070820,235,0,124,148,82,SaltLakeCity,40.7605601,-111.8881397
17920,2017111320,109,0,80,68,56,SaltLakeCity,40.7605601,-111.8881397
18313,2017121020,298,0,114,208,83,SaltLakeCity,40.7605601,-111.8881397
18852,2018011620,259,0,246,151,142,SaltLakeCity,40.7605601,-111.8881397
20250,2018042220,197,0,168,121,100,SaltLakeCity,40.7605601,-111.8881397
20716,2018052420,149,0,113,63,32,SaltLakeCity,40.7605601,-111.8881397
21182,2018062520,248,0,205,146,122,SaltLakeCity,40.7605601,-111.8881397
22114,2018082820,207,0,122,132,75,SaltLakeCity,40.7605601,-111.8881397
22973,2018102620,411,0,192,195,103,SaltLakeCity,40.7605601,-111.8881397
27735,2019091820,303,0,259,161,156,SaltLakeCity,40.7605601,-111.8881397
28172,2019101820,141,0,110,112,94,SaltLakeCity,40.7605601,-111.8881397
30036,2020022320,286,0,260,161,143,SaltLakeCity,40.7605601,-111.8881397
32366,2020080120,133,0,75,99,56,SaltLakeCity,40.7605601,-111.8881397
32861,2020090420,430,0,365,156,151,SaltLakeCity,40.7605601,-111.8881397
33298,2020100420,262,0,215,149,120,SaltLakeCity,40.7605601,-111.8881397
33691,2020103120,310,0,65,173,29,SaltLakeCity,40.7605601,-111.8881397
33764,2020110520,270,0,260,152,145,SaltLakeCity,40.7605601,-111.8881397
34157,2020120220,196,0,23,93,14,SaltLakeCity,40.7605601,-111.8881397
34230,2020120720,256,0,218,146,118,SaltLakeCity,40.7605601,-111.8881397
35657,2021031520,184,0,125,58,37,SaltLakeCity,40.7605601,-111.8881397
37958,2021082020,291,0,126,161,66,SaltLakeCity,40.7605601,-111.8881397
38424,2021092120,258,0,244,141,135,SaltLakeCity,40.7605601,-111.8881397
38453,2021092320,301,0,105,140,76,SaltLakeCity,40.7605601,-111.8881397
40288,2022012720,277,0,249,156,133,SaltLakeCity,40.7605601,-111.8881397
40754,2022022820,266,0,253,152,144,SaltLakeCity,40.7605601,-111.8881397
40783,2022030220,162,0,117,98,60,SaltLakeCity,40.7605601,-111.8881397
41817,2022051220,6027,0,4416,5988,4383,SaltLakeCity,40.7605601,-111.8881397
42953,2022072920,6887,0,4187,6727,4106,SaltLakeCity,40.7605601,-111.8881397
43579,2022091020,339,0,180,199,91,SaltLakeCity,40.7605601,-111.8881397
43914,2022100320,7140,0,5508,7049,5445,SaltLakeCity,40.7605601,-111.8881397
44016,2022101020,244,0,238,138,137,SaltLakeCity,40.7605601,-111.8881397
47977,2023070920,7371,0,5441,7223,5330,SaltLakeCity,40.7605601,-111.8881397
48210,2023072520,171,0,136,90,74,SaltLakeCity,40.7605601,-111.8881397
48676,2023082620,190,0,89,77,30,SaltLakeCity,40.7605601,-111.8881397
48705,2023082820,108,0,74,71,42,SaltLakeCity,40.7605601,-111.8881397
49142,2023092720,7665,0,5966,7537,5894,SaltLakeCity,40.7605601,-111.8881397
49608,2023102920,287,0,254,161,139,SaltLakeCity,40.7605601,-111.8881397
49637,2023103120,7018,0,4803,6979,4787,SaltLakeCity,40.7605601,-111.8881397
51341,2024022520,7308,0,5396,7115,5266,SaltLakeCity,40.7605601,-111.8881397
52535,2024051720,6940,0,4431,6903,4400,SaltLakeCity,40.7605601,-111.8881397
53336,2024071120,7615,0,4862,7493,4807,SaltLakeCity,40.7605601,-111.8881397
53467,2024072020,6898,0,5146,6804,5070,SaltLakeCity,40.7605601,-111.8881397
54035,2024082820,6933,0,2737,6789,2642,SaltLakeCity,40.7605601,-111.8881397
54268,2024091320,206,0,158,133,107,SaltLakeCity,40.7605601,-111.8881397
54734,2024101520,7297,0,1323,7187,1298,SaltLakeCity,40.7605601,-111.8881397
