orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
1027,2014091019,345,0,249,74,46,SanAntonio,29.4251905,-98.4945922
2323,2014120819,446,0,435,154,143,SanAntonio,29.4251905,-98.4945922
6153,2015082819,428,0,133,260,72,SanAntonio,29.4251905,-98.4945922
13041,2016121319,218,0,197,129,111,SanAntonio,29.4251905,-98.4945922
14541,2017032619,412,0,314,237,191,SanAntonio,29.4251905,-98.4945922
17701,2017102919,439,0,433,112,108,SanAntonio,29.4251905,-98.4945922
18167,2017113019,221,0,185,132,96,SanAntonio,29.4251905,-98.4945922
20133,2018041419,306,0,283,218,197,SanAntonio,29.4251905,-98.4945922
20599,2018051619,301,0,233,87,40,SanAntonio,29.4251905,-98.4945922
23759,2018121919,236,0,125,140,68,SanAntonio,29.4251905,-98.4945922
25259,2019040119,200,0,101,138,63,SanAntonio,29.4251905,-98.4945922
30851,2020041919,431,0,383,259,219,SanAntonio,29.4251905,-98.4945922
35511,2021030519,385,0,359,133,110,SanAntonio,29.4251905,-98.4945922
35977,2021040619,282,0,94,154,53,SanAntonio,29.4251905,-98.4945922
44729,2022112819,445,0,432,260,252,SanAntonio,29.4251905,-98.4945922
46229,2023031119,325,0,226,256,200,SanAntonio,29.4251905,-98.4945922
46695,2023041219,319,0,256,185,132,SanAntonio,29.4251905,-98.4945922
48559,2023081819,421,0,371,95,85,SanAntonio,29.4251905,-98.4945922
49855,2023111519,438,0,430,261,253,SanAntonio,29.4251905,-98.4945922
50321,2023121719,443,0,421,224,206,SanAntonio,29.4251905,-98.4945922
