orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
3023,2015012521,384,0,339,210,179,SanFrancisco_SanJose,37.33874,-121.8852525
3489,2015022621,370,0,326,216,187,SanFrancisco_SanJose,37.33874,-121.8852525
4785,2015052621,344,0,215,177,123,SanFrancisco_SanJose,37.33874,-121.8852525
5120,2015061821,340,0,322,190,182,SanFrancisco_SanJose,37.33874,-121.8852525
5717,2015072921,358,0,287,213,184,SanFrancisco_SanJose,37.33874,-121.8852525
6518,2015092221,381,0,341,224,218,SanFrancisco_SanJose,37.33874,-121.8852525
8848,2016022921,333,0,288,198,178,SanFrancisco_SanJose,37.33874,-121.8852525
10377,2016061321,356,0,325,188,161,SanFrancisco_SanJose,37.33874,-121.8852525
10712,2016070621,392,0,313,232,197,SanFrancisco_SanJose,37.33874,-121.8852525
11644,2016090821,392,0,320,238,204,SanFrancisco_SanJose,37.33874,-121.8852525
12110,2016101021,278,0,153,177,75,SanFrancisco_SanJose,37.33874,-121.8852525
14906,2017042021,353,0,320,229,215,SanFrancisco_SanJose,37.33874,-121.8852525
15372,2017052221,374,0,341,222,201,SanFrancisco_SanJose,37.33874,-121.8852525
15503,2017053121,383,0,306,164,127,SanFrancisco_SanJose,37.33874,-121.8852525
15969,2017070221,361,0,248,208,169,SanFrancisco_SanJose,37.33874,-121.8852525
16304,2017072521,376,0,327,237,219,SanFrancisco_SanJose,37.33874,-121.8852525
17236,2017092721,383,0,366,228,219,SanFrancisco_SanJose,37.33874,-121.8852525
20498,2018050921,388,0,378,229,229,SanFrancisco_SanJose,37.33874,-121.8852525
20964,2018061021,373,0,313,240,220,SanFrancisco_SanJose,37.33874,-121.8852525
21095,2018061921,376,0,321,211,180,SanFrancisco_SanJose,37.33874,-121.8852525
21561,2018072121,369,0,252,207,130,SanFrancisco_SanJose,37.33874,-121.8852525
21896,2018081321,400,0,330,240,229,SanFrancisco_SanJose,37.33874,-121.8852525
22828,2018101621,376,0,343,219,205,SanFrancisco_SanJose,37.33874,-121.8852525
23294,2018111721,396,0,302,239,209,SanFrancisco_SanJose,37.33874,-121.8852525
24692,2019022121,270,0,207,147,108,SanFrancisco_SanJose,37.33874,-121.8852525
26090,2019052821,400,0,350,240,239,SanFrancisco_SanJose,37.33874,-121.8852525
26221,2019060621,327,0,223,160,121,SanFrancisco_SanJose,37.33874,-121.8852525
28420,2019110421,395,0,358,235,218,SanFrancisco_SanJose,37.33874,-121.8852525
29847,2020021021,442,0,276,188,108,SanFrancisco_SanJose,37.33874,-121.8852525
33080,2020091921,250,0,150,182,106,SanFrancisco_SanJose,37.33874,-121.8852525
33109,2020092121,430,0,317,171,84,SanFrancisco_SanJose,37.33874,-121.8852525
34944,2021012521,188,0,135,105,57,SanFrancisco_SanJose,37.33874,-121.8852525
35410,2021022621,383,0,366,222,212,SanFrancisco_SanJose,37.33874,-121.8852525
35876,2021033021,388,0,374,237,231,SanFrancisco_SanJose,37.33874,-121.8852525
36342,2021050121,370,0,333,215,191,SanFrancisco_SanJose,37.33874,-121.8852525
36808,2021060221,398,0,289,238,138,SanFrancisco_SanJose,37.33874,-121.8852525
36939,2021061121,384,0,355,215,187,SanFrancisco_SanJose,37.33874,-121.8852525
37274,2021070421,394,0,291,234,186,SanFrancisco_SanJose,37.33874,-121.8852525
37405,2021071321,306,0,265,206,183,SanFrancisco_SanJose,37.33874,-121.8852525
37740,2021080521,394,0,343,236,199,SanFrancisco_SanJose,37.33874,-121.8852525
38672,2021100821,305,0,249,183,144,SanFrancisco_SanJose,37.33874,-121.8852525
38701,2021101021,338,0,204,159,67,SanFrancisco_SanJose,37.33874,-121.8852525
39604,2021121121,265,0,217,157,142,SanFrancisco_SanJose,37.33874,-121.8852525
40536,2022021321,385,0,347,229,192,SanFrancisco_SanJose,37.33874,-121.8852525
41002,2022031721,360,0,305,240,203,SanFrancisco_SanJose,37.33874,-121.8852525
41934,2022052021,383,0,345,191,156,SanFrancisco_SanJose,37.33874,-121.8852525
42065,2022052921,349,0,291,191,160,SanFrancisco_SanJose,37.33874,-121.8852525
42400,2022062121,394,0,369,239,221,SanFrancisco_SanJose,37.33874,-121.8852525
42531,2022063021,374,0,313,213,168,SanFrancisco_SanJose,37.33874,-121.8852525
42866,2022072321,396,0,322,241,231,SanFrancisco_SanJose,37.33874,-121.8852525
43332,2022082421,390,0,323,236,221,SanFrancisco_SanJose,37.33874,-121.8852525
43827,2022092721,414,0,348,256,217,SanFrancisco_SanJose,37.33874,-121.8852525
44264,2022102721,397,0,351,237,200,SanFrancisco_SanJose,37.33874,-121.8852525
45662,2023013121,393,0,351,237,196,SanFrancisco_SanJose,37.33874,-121.8852525
47526,2023060821,372,0,299,213,163,SanFrancisco_SanJose,37.33874,-121.8852525
47657,2023061721,326,0,209,200,164,SanFrancisco_SanJose,37.33874,-121.8852525
48123,2023071921,336,0,249,213,158,SanFrancisco_SanJose,37.33874,-121.8852525
48458,2023081121,333,0,282,189,169,SanFrancisco_SanJose,37.33874,-121.8852525
53118,2024062621,374,0,335,216,192,SanFrancisco_SanJose,37.33874,-121.8852525
53584,2024072821,383,0,300,223,188,SanFrancisco_SanJose,37.33874,-121.8852525
53715,2024080621,398,0,260,244,175,SanFrancisco_SanJose,37.33874,-121.8852525
54516,2024093021,373,0,338,216,192,SanFrancisco_SanJose,37.33874,-121.8852525
54545,2024100221,290,0,187,166,94,SanFrancisco_SanJose,37.33874,-121.8852525
